Date,call_oi_wall,put_oi_wall,gamma_flip,cta_net_futures
2026-01-09,52000.0,52000.0,52000.0,12653.8
2026-01-13,52000.0,52000.0,52000.0,12653.8
2026-01-14,52000.0,52000.0,52000.0,12653.8
2026-01-15,52000.0,52000.0,52000.0,12653.8
2026-01-16,54000.0,54000.0,54000.0,15262.6
2026-01-19,54000.0,54000.0,54000.0,15262.6
2026-01-20,54000.0,54000.0,54000.0,15262.6
2026-01-21,54000.0,54000.0,54000.0,15262.6
2026-01-22,54000.0,54000.0,54000.0,15262.6
2026-01-23,54000.0,54000.0,54000.0,13588.0
2026-01-26,54000.0,54000.0,54000.0,13588.0
2026-01-27,54000.0,54000.0,54000.0,13588.0
2026-01-28,54000.0,54000.0,54000.0,13588.0
2026-01-29,54000.0,54000.0,54000.0,13588.0
2026-01-30,53500.0,53500.0,53500.0,12065.8
2026-02-02,53500.0,53500.0,53500.0,12065.8
2026-02-03,53500.0,53500.0,53500.0,12065.8
2026-02-04,53500.0,53500.0,53500.0,12065.8
2026-02-05,53500.0,53500.0,53500.0,12065.8
2026-02-06,54500.0,54000.0,54250.0,12093.4
2026-02-09,54500.0,54000.0,54250.0,12093.4
2026-02-10,54500.0,54000.0,54250.0,12093.4
2026-02-12,54500.0,54000.0,54250.0,12093.4
2026-02-13,57000.0,57000.0,57000.0,18405.3
2026-02-16,57000.0,57000.0,57000.0,18405.3
2026-02-17,57000.0,57000.0,57000.0,18405.3
2026-02-18,57000.0,57000.0,57000.0,18405.3
2026-02-19,57000.0,57000.0,57000.0,18405.3
2026-02-20,57000.0,57000.0,57000.0,20732.7
2026-02-24,57000.0,57000.0,57000.0,20732.7
2026-02-25,57000.0,57000.0,57000.0,20732.7
2026-02-26,57000.0,57000.0,57000.0,20732.7
2026-02-27,59000.0,59000.0,59000.0,17340.899999999998
2026-03-02,59000.0,59000.0,59000.0,17340.899999999998
2026-03-03,59000.0,59000.0,59000.0,17340.899999999998
2026-03-04,59000.0,59000.0,59000.0,17340.899999999998
2026-03-05,59000.0,59000.0,59000.0,17340.899999999998
2026-03-06,55500.0,55500.0,55500.0,7237.800000000001
2026-03-09,55500.0,55500.0,55500.0,7237.800000000001
2026-03-10,55500.0,55500.0,55500.0,7237.800000000001
2026-03-11,55500.0,55500.0,55500.0,7237.800000000001
2026-03-12,55500.0,55500.0,55500.0,7237.800000000001
2026-03-13,53625.0,54000.0,53812.5,13401.9
2026-03-16,53625.0,54000.0,53812.5,13401.9
2026-03-17,53625.0,54000.0,53812.5,13401.9
2026-03-18,53625.0,54000.0,53812.5,13401.9
2026-03-19,53250.0,53500.0,53375.0,13248.9
2026-03-23,53250.0,53500.0,53375.0,13248.9
2026-03-24,53250.0,53500.0,53375.0,13248.9
2026-03-25,53250.0,53500.0,53375.0,13248.9
2026-03-26,53250.0,53500.0,53375.0,13248.9
2026-03-27,53250.0,53500.0,53375.0,4999.299999999999
2026-03-30,53250.0,53500.0,53375.0,4999.299999999999
2026-03-31,53250.0,53500.0,53375.0,4999.299999999999
2026-04-01,53250.0,53500.0,53375.0,4999.299999999999
2026-04-02,53250.0,53500.0,53375.0,4999.299999999999
2026-04-03,53000.0,53000.0,53000.0,-3740.2
2026-04-06,53000.0,53000.0,53000.0,-3740.2
2026-04-07,53000.0,53000.0,53000.0,-3740.2
2026-04-08,53000.0,53000.0,53000.0,-3740.2
2026-04-09,53000.0,53000.0,53000.0,-3740.2
2026-04-10,57000.0,57000.0,57000.0,599.9
2026-04-13,57000.0,57000.0,57000.0,599.9
2026-04-14,57000.0,57000.0,57000.0,599.9
2026-04-15,57000.0,57000.0,57000.0,599.9
2026-04-16,57000.0,57000.0,57000.0,599.9
2026-04-17,58750.0,58250.0,58500.0,7459.9
2026-04-20,58750.0,58250.0,58500.0,7459.9
2026-04-21,58750.0,58250.0,58500.0,7459.9
2026-04-22,58750.0,58250.0,58500.0,7459.9
2026-04-23,58750.0,58250.0,58500.0,7459.9
2026-04-24,60000.0,60000.0,60000.0,7467.000000000001
2026-04-27,60000.0,60000.0,60000.0,7467.000000000001
2026-04-28,60000.0,60000.0,60000.0,7467.000000000001
2026-04-30,60000.0,60000.0,60000.0,7467.000000000001
2026-05-01,59500.0,59500.0,59500.0,11026.1
2026-05-07,59500.0,59500.0,59500.0,11026.1
2026-05-08,63000.0,62500.0,62750.0,13875.4
2026-05-11,63000.0,62500.0,62750.0,13875.4
2026-05-12,63000.0,62500.0,62750.0,13875.4
2026-05-13,63000.0,62500.0,62750.0,13875.4
2026-05-14,63000.0,62500.0,62750.0,13875.4
2026-05-15,61500.0,61500.0,61500.0,15148.7
2026-05-18,61500.0,61500.0,61500.0,15148.7
2026-05-19,61500.0,61500.0,61500.0,15148.7
