"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"8418","山口ＦＧ","東P","3110.0","-34.0(-1.08%)","1,385,470"
"8424","芙蓉総合リース","東P","4410.0","-37.0(-0.83%)","739,854"
"8425","みずほリース","東P","1343","-13.0(-0.96%)","777,188"
"8439","東京センチュリー","東P","2633.0","-34.0(-1.27%)","1,779,454"
"8473","ＳＢＩ　ＨＬＤＧ","東P","3217.0","-132.0(-3.94%)","12,877,355"
"8508","Ｊトラスト","東S","741","-11.0(-1.46%)","1,909,532"
"8511","日本証券金融","東P","2417","-40.0(-1.63%)","558,436"
"8522","名古屋銀行","東P","6880","-100.0(-1.43%)","973,125"
"8524","北洋銀行","東P","1263","-31.0(-2.40%)","1,867,681"
"8541","愛媛銀行","東P","3155","-30.0(-0.94%)","625,247"
"8544","京葉銀行","東P","2727","-54.0(-1.94%)","858,080"
"8550","栃木銀行","東P","1042","-19.0(-1.79%)","638,694"
"8570","イオンフィナンシャルサービス","東P","1592.0","-8.0(-0.50%)","1,070,579"
"8572","アコム","東S","478.0","-6.1(-1.26%)","525,007"
"8591","オリックス","東P","6021.0","-10.0(-0.17%)","20,432,481"
"8593","三菱ＨＣキャピタル","東P","1379.5","-11.0(-0.79%)","5,123,495"
"8595","ジャフコ　グループ","東P","2251.5","-28.5(-1.25%)","632,098"
"8600","トモニＨＬＤＧ","東P","1097","-8.0(-0.72%)","575,957"
"8601","大和証券グループ本社","東P","1797.0","-37.5(-2.04%)","7,969,465"
"8604","野村ＨＬＤＧ","東P","1616.0","-32.5(-1.97%)","13,918,887"
"8609","岡三証券グループ","東P","1208","-23.0(-1.87%)","645,815"
"8614","東洋証券","東P","720","-16.0(-2.17%)","500,461"
"8616","東海東京フィナンシャルＨＬＤＧ","東P","875","-10.0(-1.13%)","741,828"
"8628","松井証券","東P","1190","-16.0(-1.33%)","1,090,130"
"8630","ＳＯＭＰＯ　ＨＬＤＧ","東P","6578.0","-69.0(-1.04%)","14,972,336"
"8697","日本取引所グループ","東P","2200.0","-3.5(-0.16%)","7,280,107"
"8698","マネックスグループ","東P","717","-8.0(-1.10%)","1,217,168"
"8707","岩井コスモＨＬＤＧ","東P","4595","-65.0(-1.39%)","556,388"
"8714","池田泉州ＨＬＤＧ","東P","1042","-10.0(-0.95%)","864,098"
"8725","ＭＳ＆ＡＤインシュアランスＨＤ","東P","4947.0","-131.0(-2.58%)","19,869,170"
"8729","ソニーフィナンシャルグループ","東P","158.8","-3.5(-2.16%)","9,440,835"
"8750","第一ライフグループ","東P","1804.0","-18.5(-1.02%)","14,919,276"
"8766","東京海上ＨＬＤＧ","東P","7701.0","-170.0(-2.16%)","39,317,681"
"8795","Ｔ＆Ｄ　ＨＬＤＧ","東P","4700.0","-117.0(-2.43%)","6,970,976"
"8801","三井不動産","東P","1505.5","+0.0(+0.00%)","12,832,872"
"8802","三菱地所","東P","3682.0","+22.0(+0.60%)","13,357,747"
"8804","東京建物","東P","3335.0","-9.0(-0.27%)","2,273,365"
"8830","住友不動産","東P","3307.0","+63.0(+1.94%)","9,856,195"
"8848","レオパレス２１","東P","653","+3.0(+0.46%)","624,469"
"8876","リログループ","東P","2194.5","-53.0(-2.36%)","1,005,766"
"8897","ＭＩＲＡＲＴＨＨＬＤＧ","東P","442","-2.0(-0.45%)","528,252"
"8918","ランド","東S","10","-1.0(-9.09%)","3,630,891"
"8919","カチタス","東P","3480","-70.0(-1.97%)","774,603"
"8995","誠建設工業","東S","2048","-500.0(-19.62%)","751,383"
"9001","東武鉄道","東P","2926.0","+22.5(+0.77%)","1,855,310"
"9003","相鉄ＨＬＤＧ","東P","2603.5","-11.5(-0.44%)","681,839"
"9005","東急","東P","1655.5","+6.0(+0.36%)","3,693,118"
"9006","京浜急行電鉄","東P","1559.5","-2.0(-0.13%)","1,012,481"
